constituentDate,bondIdentifier,weight,notional,marketValue,ytm,duration,bondRating,country,coupon,currency,bondType,sector
30/09/22,B1287960502582,0.001530338,800000000,637426629.4,5.326928957,3.413776393,A,KR,1.5,USD,Corporates,Technology
30/09/22,B1287960363471,0.000646175,300000000,269149165.7,5.060134933,0.859889739,A,KR,3.875,USD,Corporates,Technology
31/10/22,B1287960507084,0.001619167,750000000,652501975,5.80390644,3.530929956,A,IN,1.5,USD,Corporates,Technology
31/10/22,B1287960473466,0.001058,500000000,426359489.3,6.179578275,1.835135041,BBB,KR,3,USD,Corporates,Technology
31/10/22,B1287960513363,0.000816374,400000000,328987568.9,8.165356794,4.155735988,BBB,ID,2.8,USD,Corporates,Technology
31/10/22,B1287960514761,0.000590591,850000000,238000151.9,6.052205009,3.917078548,BBB,JP,2.17,USD,Corporates,Technology
31/10/22,B1287960514758,0.000374484,500000000,150911896.8,6.375899073,2.028772454,BBB,JP,1.543,USD,Corporates,Technology
31/10/22,B1287960363471,0.000667274,300000000,268902176.3,5.300628157,0.776545686,A,KR,3.875,USD,Corporates,Technology
31/10/22,B1287960498830,0.001630841,1000000000,657206522.6,6.935472639,7.287883441,BBB,KR,2.375,USD,Corporates,Technology
31/10/22,B1287960498832,0.000640601,300000000,258153356.7,7.942712144,3.068241285,BBB,ID,2.75,USD,Corporates,Technology
31/10/22,B1287960498826,0.00105226,500000000,424046468.6,6.135570976,1.208904325,BBB,KR,1,USD,Corporates,Technology
31/10/22,B1287960498828,0.001930647,1000000000,778024295.8,6.629800249,3.131023752,BBB,KR,1.5,USD,Corporates,Technology
31/10/22,B1287960479526,0.000825867,350000000,332812900,7.378461874,2.118830113,BBB,ID,4.25,USD,Corporates,Technology
31/10/22,B1287960501482,0.001081391,500000000,435785708.3,5.795666766,3.280770577,A,IN,1.375,USD,Corporates,Technology
31/10/22,B1287960502582,0.00156098,800000000,629053580.6,5.683006306,3.329846039,A,KR,1.5,USD,Corporates,Technology
30/11/22,B1287960507084,0.001594749,750000000,662102075,5.327119219,3.451611987,A,IN,1.5,USD,Corporates,Technology
30/11/22,B1287960473466,0.001049353,500000000,435666445.7,6.393752703,1.751698203,BBB,KR,3,USD,Corporates,Technology
30/11/22,B1287960513363,0.000839089,400000000,348369991.1,6.228574592,4.16003478,BBB,ID,2.8,USD,Corporates,Technology
30/11/22,B1287960514761,0.000586496,850000000,243499423.6,5.550780032,3.870225468,BBB,JP,2.17,USD,Corporates,Technology
30/11/22,B1287960514758,0.000368068,500000000,152812933.7,6.194217407,1.964833618,BBB,JP,1.543,USD,Corporates,Technology
30/11/22,B1287960363471,0.00066478,300000000,276000725.8,5.207405207,0.693216506,A,KR,3.875,USD,Corporates,Technology
30/11/22,B1287960498830,0.001642187,1000000000,681797249.4,6.758938111,7.214685676,BBB,KR,2.375,USD,Corporates,Technology
30/11/22,B1287960498832,0.000663634,300000000,275525176.7,6.206971325,2.989947289,BBB,ID,2.75,USD,Corporates,Technology
30/11/22,B1287960498826,0.001047269,500000000,434801120.8,6.252932426,1.128341655,BBB,KR,1,USD,Corporates,Technology
30/11/22,B1287960498828,0.001918242,1000000000,796408534,6.502301982,3.050684735,BBB,KR,1.5,USD,Corporates,Technology
30/11/22,B1287960479526,0.000824409,350000000,342275208.3,6.212173185,2.03712015,BBB,ID,4.25,USD,Corporates,Technology
30/11/22,B1287960501482,0.001066295,500000000,442700527.8,5.292844547,3.20099413,A,IN,1.375,USD,Corporates,Technology
31/12/22,B1287960504029,0.000374739,580000000,155169328.2,4.728188676,7.672381164,A,JP,1.75,USD,Sovereigns & Sub-Sovereigns,Agencies
30/11/22,B1287960502582,0.001570798,800000000,652158123.7,5.202665845,3.247317464,A,KR,1.5,USD,Corporates,Technology
31/12/22,B1287960244634,0.001111274,1500000000,460148069.8,4.80254816,2.34816225,A,JP,2.5,USD,Sovereigns & Sub-Sovereigns,Agencies
31/12/22,B1287960507084,0.001596095,750000000,660899350,5.402031529,3.394206243,A,IN,1.5,USD,Corporates,Technology
31/12/22,B1287960473466,0.001062166,500000000,439813714.8,6.411298745,1.668356388,BBB,KR,3,USD,Corporates,Technology
31/12/22,B1287960513363,0.000844647,400000000,349745075.6,6.345013405,4.073167452,BBB,ID,2.8,USD,Corporates,Technology
31/12/22,B1287960514761,0.000584684,850000000,242101725.7,5.759998685,3.786334427,BBB,JP,2.17,USD,Corporates,Technology
31/12/22,B1287960514758,0.000368429,500000000,152556284.2,6.376048869,1.878675093,BBB,JP,1.543,USD,Corporates,Technology
31/12/22,B1287960363471,0.000670129,300000000,277482236.5,5.339994355,0.609877265,A,KR,3.875,USD,Corporates,Technology
31/12/22,B1287960498830,0.001666816,1000000000,690182775.7,6.738672556,7.129416409,BBB,KR,2.375,USD,Corporates,Technology
31/12/22,B1287960498832,0.000663671,300000000,274808106.7,6.350496554,2.906200868,BBB,ID,2.75,USD,Corporates,Technology
31/12/22,B1287960498826,0.001058126,500000000,438141156.7,6.331173338,1.042225802,BBB,KR,1,USD,Corporates,Technology
31/12/22,B1287960498828,0.001936183,1000000000,801720129.4,6.601886113,2.964404522,BBB,KR,1.5,USD,Corporates,Technology
31/12/22,B1287960479526,0.000828504,350000000,343060841.7,6.331694695,1.953620844,BBB,ID,4.25,USD,Corporates,Technology
